DateUpload,Title,Mail,MailSent,LongW,LatN,Comments,ID,AuthorKey,MosquitoSpecies,HostRichness,BloodengorgedMosquitoes,Landscape,BloodSource1,BloodSource2,BloodSource3,BloodSource4,BloodSource5,BloodSource6,BloodSource7,BloodSource8,BloodSource9,BloodSource10,BloodSource11,BloodSource12,BloodSource13,BloodSource14,BloodSource15,BloodSource16,BloodSource17,BloodSource18,BloodSource19,BloodSource20,BloodSource21,BloodSource22,BloodSource23,BloodSource24,BloodSource25,BloodSource26,BloodSource27,BloodSource28,BloodSource29,BloodSource30,BloodSource31,BloodSource32,BloodSource33,BloodSource34,BloodSource35,BloodSource36,BloodSource37,BloodSource38,BloodSource39,BloodSource40,BloodSource41,BloodSource42,BloodSource43,BloodSource44,BloodSource45,BloodSource46,BloodSource47,BloodSource48,BloodSource49,BloodSource50,BloodSource51,BloodSource52,BloodSource53,BloodSource54,BloodSource55,BloodSource56,Mammalia,Aves,Amphibia,Reptilia
31.12.2020,Potential_of_Aedes_albopictus_as_a_bridge_vector_for_enzootic_pathogens_at_the_urban-forest_interface_in_Brazil,tayssadnz@gmail.com,no,-43.4417390,-22.9310520,pedra_branca-200m(d_f_f),33,Pereiradossantos2018,Aedes_albopictus,1,3,edge_wild,Homo_sapiens_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
31.12.2022,Potential_of_Aedes_albopictus_as_a_bridge_vector_for_enzootic_pathogens_at_the_urban-forest_interface_in_Brazil,tayssadnz@gmail.com,no,-59.9268400,-3.0072780,adolpho_ducke+100m(distance_from_theforest_edge),33,Pereiradossantos2018,Aedes_albopictus,1,3,edge_wild,Homo_sapiens_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
31.12.2023,Potential_of_Aedes_albopictus_as_a_bridge_vector_for_enzootic_pathogens_at_the_urban-forest_interface_in_Brazil,tayssadnz@gmail.com,no,-59.9271830,-3.0035500,adolpho_ducke,33,Pereiradossantos2018,Aedes_albopictus,5,58,wild,Canis_lupus_familiaris,Homo_sapiens_sapiens,Rattus_norvegicus,Tonatia_bidens,Taraba_major,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0,0
29.09.2020,Vertebrate_Hosts_of_Aedes_aegypti_and_Aedes_mediovittatus_(Diptera:_Culicidae)_in_Rural_Puerto_Rico,rbarrera@cdc.gov,no,-66.0000000,17.9877780,sacado_OlsonEtAl2020,1,Barrera2012,Aedes_aegypti,4,130,disturbed,Homo_sapiens,Canis_lupus_familiaris,Felis_catus,Equus_ferus_caballus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,0
29.09.2020,Vertebrate_Hosts_of_Aedes_aegypti_and_Aedes_mediovittatus_(Diptera:_Culicidae)_in_Rural_Puerto_Rico,rbarrera@cdc.gov,no,-65.9552780,17.9766670,sacado_OlsonEtAl2020,1,Barrera2012,Aedes_aegypti,4,261,disturbed,Homo_sapiens,Canis_lupus_familiaris,Felis_catus,Gallus_gallus_domesticus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,0
29.09.2020,Vertebrate_Hosts_of_Aedes_aegypti_and_Aedes_mediovittatus_(Diptera:_Culicidae)_in_Rural_Puerto_Rico,rbarrera@cdc.gov,no,-66.0000000,17.9877780,sacado_OlsonEtAl2020,1,Barrera2012,Aedes_mediovittatus,8,69,disturbed,Homo_sapiens,Canis_lupus_familiaris,Felis_catus,Bos_taurus,Equus_ferus_caballus,Rattus_sp.,Sus_scrofa,Ovis_aries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,0
29.09.2020,Vertebrate_Hosts_of_Aedes_aegypti_and_Aedes_mediovittatus_(Diptera:_Culicidae)_in_Rural_Puerto_Rico,rbarrera@cdc.gov,no,-65.9552780,17.9766670,sacado_OlsonEtAl2020,1,Barrera2012,Aedes_mediovittatus,8,149,disturbed,Homo_sapiens,Canis_lupus_familiaris,Felis_catus,Bos_taurus,Equus_ferus_caballus,Sus_scrofa,Capra_aegagrus_hircus,Gallus_gallus_domesticus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,0,0
29.09.2020,Blood-meal_preferences_and_avian_malaria_detection_in_mosquitoes_(Diptera:_Culicidae)_captured_at_different_land_use_types_within_a_neotropical_montane_cloud_forest_matrix,diego.santiago@inecol.mx,no,-97.0077780,19.4541670,NA,3,Abella-Medrano2018,Aedes_quadrivittatus,2,2,wild,Homo_sapiens_sapiens,Sturnira_hondurensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0
29.09.2020,Blood-meal_preferences_and_avian_malaria_detection_in_mosquitoes_(Diptera:_Culicidae)_captured_at_different_land_use_types_within_a_neotropical_montane_cloud_forest_matrix,diego.santiago@inecol.mx,no,-96.9366670,19.5144440,NA,3,Abella-Medrano2018,Aedes_quadrivittatus,1,1,wild,Homo_sapiens_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
29.09.2020,Blood-meal_preferences_and_avian_malaria_detection_in_mosquitoes_(Diptera:_Culicidae)_captured_at_different_land_use_types_within_a_neotropical_montane_cloud_forest_matrix,diego.santiago@inecol.mx,no,-96.9383330,19.5519440,NA,3,Abella-Medrano2018,Culex_restuans,3,5,disturbed,Homo_sapiens_sapiens,Sturnira_hondurensis,Bos_taurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0
29.09.2020,Blood-meal_preferences_and_avian_malaria_detection_in_mosquitoes_(Diptera:_Culicidae)_captured_at_different_land_use_types_within_a_neotropical_montane_cloud_forest_matrix,diego.santiago@inecol.mx,no,-96.9366670,19.5144440,NA,3,Abella-Medrano2018,Culex_restuans,1,1,wild,Bos_taurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
29.09.2020,Blood-meal_preferences_and_avian_malaria_detection_in_mosquitoes_(Diptera:_Culicidae)_captured_at_different_land_use_types_within_a_neotropical_montane_cloud_forest_matrix,diego.santiago@inecol.mx,no,-96.9366670,19.5144440,NA,3,Abella-Medrano2018,Wyeomyia_adelpha,1,1,wild,Homo_sapiens_sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
29.09.2020,Host-feeding_patterns_of_Aedes_albopictus_(Diptera:_Culicidae)_in_relation_to_availability_of_human_and_domestic_animals_in_suburban_landscapes_of_central_North_Carolina,charles_apperson@ncsu.edu,no,-76.6000000,35.8000000,NA,5,Richards2006,Aedes_albopictus,12,1094,disturbed,Frog,Turtle,Bird,Homo_sapiens_sapiens,Canis_lupus_familiaris,Felis_silvestris_catus,Odocoileus_virginianus,Equus_ferus_caballus,Sylvilagus_floridanus,Sciurus_carolinensis,Procyon_lotor,Didelphis_virginiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,1,1
29.09.2020,Host-feeding_patterns_of_Aedes_albopictus_(Diptera:_Culicidae)_in_relation_to_availability_of_human_and_domestic_animals_in_suburban_landscapes_of_central_North_Carolina,charles_apperson@ncsu.edu,no,-76.6000000,35.8000000,NA,5,Richards2006,Aedes_triseratus,12,574,disturbed,Frog,Turtle,Bird,Homo_sapiens_sapiens,Canis_lupus_familiaris,Felis_silvestris_catus,Odocoileus_virginianus,Equus_ferus_caballus,Sylvilagus_floridanus,Sciurus_carolinensis,Procyon_lotor,Didelphis_virginiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,1,1
29.09.2020,Host-feeding_patterns_of_Aedes_albopictus_(Diptera:_Culicidae)_in_relation_to_availability_of_human_and_domestic_animals_in_suburban_landscapes_of_central_North_Carolina,charles_apperson@ncsu.edu,no,-76.6000000,35.8000000,NA,5,Richards2006,Aedes_vexans,12,896,disturbed,Frog,Turtle,Bird,Homo_sapiens_sapiens,Canis_lupus_familiaris,Felis_silvestris_catus,Odocoileus_virginianus,Equus_ferus_caballus,Sylvilagus_floridanus,Sciurus_carolinensis,Procyon_lotor,Didelphis_virginiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,1,1
29.09.2020,Host-feeding_patterns_of_Aedes_albopictus_(Diptera:_Culicidae)_in_relation_to_availability_of_human_and_domestic_animals_in_suburban_landscapes_of_central_North_Carolina,charles_apperson@ncsu.edu,no,-76.6000000,35.8000000,NA,5,Richards2006,Culex_pipiens,7,71,disturbed,Frog,Bird,Odocoileus_virginianus,Equus_ferus_caballus,Sciurus_carolinensis,Procyon_lotor,Didelphis_virginiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,0
